"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","6.4660767164","60.6541050558","220.9409370510","0.800","0.200"
"2","1","6.4651812086","164.8094201520","1385.6304093900","0.800","0.200"
"3","2","6.4658499098","18.5378008501","26.9624153212","0.800","0.200"
"4","3","6.4675725660","53.8503872143","187.8774680690","0.800","0.200"
"5","4","6.0689915686","65.0160613574","372.6303429430","0.800","0.200"
"6","5","6.0695377111","58.9631358980","434.5507206910","0.800","0.200"
"7","6","6.0713045568","24.6332493543","78.0087955358","0.800","0.200"
"8","7","6.0715569983","22.2706722017","90.6143231660","0.800","0.200"
"9","8","6.0691253576","37.8614506639","185.9572027290","0.800","0.200"
"10","9","6.0709088049","59.6768993978","222.2600613660","0.800","0.200"
"11","10","2.6108192979","99.9511818233","757.2159840140","0.800","0.200"
"12","11","2.6108993760","51.8787416612","228.8905832540","0.800","0.200"
"13","12","2.6108446885","81.7316475413","488.0029285760","0.800","0.200"
"14","13","2.6108500596","37.1361171036","127.6452638780","0.800","0.200"
"15","14","2.6108188096","10.0624303211","30.4367083273","0.800","0.200"
"16","15","2.6108329697","29.3493191735","190.4485141130","0.800","0.200"
"17","16","2.6108422471","104.0106378610","845.4564755860","0.800","0.200"
"18","17","2.6108395615","119.0132297400","668.1450098180","0.800","0.200"
"19","18","2.6108310166","17.9082372233","27.9126076972","0.800","0.200"
"20","19","2.6107563096","100.2821110740","826.6092582030","0.800","0.200"
"21","20","2.6108317490","17.5154974805","70.5459957630","0.800","0.200"
"22","21","2.6108324815","17.0776038940","61.7320689004","0.800","0.200"
"23","22","2.6107995225","133.1904459450","1211.8941590300","0.800","0.200"
"24","23","2.6108454209","58.0882990717","431.8122110500","0.800","0.200"
"25","24","2.6108388291","64.4195780009","553.6283530780","0.800","0.200"
"26","25","2.6108439561","15.6018105709","34.9541911957","0.800","0.200"
"27","26","2.6108449326","10.9950174534","22.8185165966","0.800","0.200"
"28","27","2.6108341904","8.2426251953","21.9590053170","0.800","0.200"
"29","28","2.6108239365","121.4218630590","705.2452585210","0.800","0.200"
"30","29","2.5027814566","184.2616675200","1393.4597601100","0.800","0.200"
"31","30","2.5027546011","204.8521249620","1393.4596063000","0.800","0.200"
"32","31","2.5027948844","307.5491125830","1393.4595618700","0.800","0.200"
"33","32","2.5027992789","43.2071393955","225.1066326120","0.800","0.200"
"34","33","2.5027931754","13.4783828947","27.4654102654","0.800","0.200"
"35","34","2.5027917105","15.1267701417","34.9621084247","0.800","0.200"
"36","35","2.5027773062","18.0616909393","34.9621159769","0.800","0.200"
"37","36","2.5027936636","12.1835766714","23.4604327723","0.800","0.200"
"38","37","2.5027904898","14.5038725194","29.4523615328","0.800","0.200"
"39","38","2.5027638785","34.2771151618","233.3652201540","0.800","0.200"
"40","39","2.5027685172","33.0135226359","139.3110942140","0.800","0.200"
"41","40","2.5027897574","8.5874211450","23.9128278194","0.800","0.200"
"42","41","2.5028044058","34.9600078463","296.0436615050","0.800","0.200"
"43","42","1.6265845022","15.6456916476","34.9792718156","0.800","0.200"
"44","43","1.6266057424","12.0611109618","29.9622136332","0.800","0.200"
"45","44","1.6266015920","26.2719948902","145.5084060220","0.800","0.200"
"46","45","1.6266741018","11.1095305648","30.9601285258","0.800","0.200"
"47","46","1.6266677541","25.3347881551","215.9746113930","0.800","0.200"
"48","47","1.6265796194","7.3192450693","26.9596604341","0.800","0.200"
"49","48","1.6265439748","29.7083187336","245.6143265130","0.800","0.200"
"50","49","1.6265740041","40.7680085953","239.1912511870","0.800","0.200"
"51","50","1.6265752248","44.7601090327","239.1912409330","0.800","0.200"
"52","51","1.6265522756","141.6534441210","1219.4716241600","0.800","0.200"
"53","52","1.6265603322","19.6695273633","105.6935681920","0.800","0.200"
"54","53","1.6265718069","16.9375901723","28.9547294373","0.800","0.200"
"55","54","1.6265759572","12.3103783399","34.4626863679","0.800","0.200"
"56","55","1.5933491506","28.6749314984","205.7110170120","0.800","0.200"
"57","56","1.5933977346","28.5878262692","214.4737422800","0.800","0.200"
"58","57","1.6265613088","12.6403230549","29.9631712262","0.800","0.200"
"59","58","1.6265757131","18.8178179316","57.6440264154","0.800","0.200"
"60","59","1.6265764455","37.7514879574","224.1121339910","0.800","0.200"
"61","60","1.6265779104","58.9790251314","311.3664377990","0.800","0.200"
