"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","-16.3490029823","-26.4767240728","-65.5376429186","0.800","0.200"
"2","1","-16.3490029823","-18.9769526555","-21.8509325253","0.800","0.200"
"3","2","-16.3489868801","-18.1883621228","-18.3932730518","0.806","0.194"
"4","3","-16.3489055214","-17.9908818311","-16.4188813365","0.816","0.184"
"5","4","-16.3488644362","-17.9838545187","-16.3490391955","0.999","0.001"
"6","5","-16.3488644362","-23.2175285420","-56.4997101068","0.999","0.001"
"7","6","-16.3488644362","-19.8867574583","-27.3560370230","0.996","0.004"
"8","7","-16.3488644362","-23.0511026405","-40.5211752325","0.999","0.001"
"9","8","-16.3488644362","-19.5068509771","-31.5794610203","0.995","0.005"
"10","9","-16.3488613367","-17.9837917793","-16.3490704215","0.992","0.008"
"11","10","-16.3488644362","-17.9837658073","-16.3489403774","0.999","0.001"
"12","11","-16.3465300736","-18.1344766221","-17.8501697305","0.001","0.999"
"13","12","-16.3465300736","-19.7204281663","-33.7086831673","0.014","0.986"
"14","13","-16.3465300736","-17.9835242783","-16.3500676654","0.017","0.983"
"15","14","-16.3465300736","-22.6418007939","-62.9255752306","0.999","0.001"
"16","15","-16.3465300736","-33.1809023539","-168.3214850760","0.997","0.003"
"17","16","-16.3465300736","-17.9861582556","-16.3588845069","0.995","0.005"
"18","17","-16.3465300736","-159.4532193880","-1431.0316727600","0.001","0.999"
"19","18","-16.3465300736","-28.5946028657","-51.9991241478","0.003","0.997"
"20","19","-16.3465300736","-19.7006162318","-33.5187973135","0.007","0.993"
"21","20","-16.3373432406","-17.9812098818","-16.3490067156","0.004","0.996"
"22","21","-16.3351628227","-8203.4696090400","-81866.1309646000","0.001","0.999"
"23","22","-16.0614823663","-18.1304690085","-17.4474235812","0.003","0.997"
"24","23","-16.0614823663","-18.5260230230","-21.3882809355","0.001","0.999"
"25","24","-16.0614823663","-19.0998677761","-28.0135650073","0.007","0.993"
"26","25","-16.1787348654","-26.5464884004","-76.0320678336","0.010","0.990"
"27","26","-16.1787348654","-19.5496762646","-32.1002824661","0.013","0.987"
"28","27","-16.1787348654","-22.7585690577","-41.4830943593","0.010","0.990"
"29","28","-3.2245926281","-16.7322588851","-17.1453700709","0.013","0.987"
"30","29","-3.2245926281","-17.0096939482","-18.6595563281","0.004","0.996"
"31","30","-3.2245926281","-17.3263195197","-23.2541929480","0.013","0.987"
"32","31","-3.2245926281","-16.7797227919","-17.6757927037","0.020","0.980"
"33","32","-3.2245926281","-16.7598725993","-17.5728842750","0.030","0.970"
"34","33","-3.2245926281","-28.4630035984","-134.5624610910","0.020","0.980"
"35","34","-3.2245926281","-18.4376823197","-33.9297121103","0.017","0.983"
"36","35","-3.2245926281","-43.4106219605","-252.9008562400","0.012","0.988"
"37","36","-3.2245926281","-23.6900901434","-54.9424384270","0.014","0.986"
"38","37","-3.2245926281","-65.3828807837","-440.4858943530","0.019","0.981"
"39","38","-3.2245926281","-37.8196079550","-178.5920731530","0.021","0.979"
"40","39","-3.2245926281","-260.8403653310","-2080.9345993500","0.018","0.982"
"41","40","-3.2245926281","-18.1067290496","-23.9036729861","0.021","0.979"
"42","41","-3.2245926281","-26.3334016088","-63.5502012864","0.013","0.987"
"43","42","-3.2245926281","-11777.8726880000","-117626.0326100000","0.018","0.982"
"44","43","-3.2245926281","-62.2038121593","-467.6103522810","0.020","0.980"
