"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","20.0208097059","8422.9776476500","746439.1587750000","0.800","0.200"
"2","1","19.3630573660","18355.6397642000","1803244.3215000000","0.800","0.200"
"3","2","19.1335270445","284.3028494440","16795.8010301000","0.790","0.210"
"4","3","6.6814127098","291.4658294030","23451.9404073000","0.800","0.200"
"5","4","6.6813035789","23779.4749088000","2009389.5851600000","0.810","0.190"
"6","5","6.6813250633","7015624.1301600000","698032157.3850000000","0.800","0.200"
"7","6","6.6818050438","5109930.0539200000","496133351.9580000000","0.790","0.210"
"8","7","6.6811378075","68604.9870545000","2574482.6550800000","0.780","0.220"
"9","8","6.3862734210","106279.2453120000","4567283.1309600000","0.770","0.230"
"10","9","6.3724184406","96258.2494909000","4232656.8692000000","0.760","0.240"
"11","10","4.9638081769","197350.2021650000","6341761.2097300000","0.750","0.250"
"12","11","4.8951149271","656774.6160830000","42825307.6839000000","0.740","0.260"
"13","12","4.8950890482","4165995.2271800000","392921022.7650000000","0.730","0.270"
"14","13","4.8940690287","6770512.3396600000","660886624.5040000000","0.740","0.260"
"15","14","4.6344254855","812702.1937510000","72046546.2421000000","0.730","0.270"
"16","15","4.6343002413","5308256.4981100000","505712316.9120000000","0.740","0.260"
"17","16","4.6336713351","759649.5571220000","46898650.8916000000","0.730","0.270"
"18","17","4.3717470987","1724722.7868900000","149456210.7880000000","0.720","0.280"
"19","18","4.3713447549","5007377.7513700000","487572498.1250000000","0.710","0.290"
"20","19","4.3726928994","9167830.2932400000","905695787.6210000000","0.700","0.300"
"21","20","4.3715305459","4773027.3358600000","360318364.0850000000","0.690","0.310"
"22","21","4.3117223321","676283.2054090000","20819174.6039000000","0.680","0.320"
"23","22","4.3117765313","3109069.0637900000","84939317.1162000000","0.670","0.330"
"24","23","4.3123009454","806947.8975750000","35484390.0237000000","0.660","0.340"
"25","24","4.3127069513","1953789.2777900000","72673709.9452000000","0.650","0.350"
"26","25","4.0908063745","1924409.1670700000","43094676.8116000000","0.640","0.360"
"27","26","4.0905500268","1949146.1022200000","45943883.7233000000","0.630","0.370"
"28","27","4.0913112573","9385835.7370600000","550537812.3810000000","0.620","0.380"
"29","28","3.5364566063","987969.3972150000","31077106.4878000000","0.610","0.390"
"30","29","3.5356614402","1856812.3069700000","48777927.2126000000","0.600","0.400"
"31","30","3.5335781883","4746207.3817200000","334949440.1480000000","0.590","0.410"
"32","31","3.5359812645","4384490.5719500000","391729929.3600000000","0.580","0.420"
"33","32","3.5330635399","5843534.7931100000","346477348.8880000000","0.570","0.430"
"34","33","3.5340032371","2595590.3061500000","82110454.1484000000","0.560","0.440"
"35","34","3.5339624656","7510106.3749400000","706964387.5200000000","0.550","0.450"
"36","35","3.5367273582","469071.1757780000","14128580.6873000000","0.540","0.460"
"37","36","3.5348455223","12231590.1716000000","614534990.2780000000","0.550","0.450"
"38","37","3.5355254539","2502558.5307000000","67914574.7467000000","0.540","0.460"
"39","38","3.5348970245","6097383.0826900000","353260818.6230000000","0.530","0.470"
"40","39","3.5223921531","7638348.5673300000","440365248.1680000000","0.520","0.480"
"41","40","3.5203416046","1657490.2575900000","55274500.1406000000","0.510","0.490"
"42","41","3.5343880027","2052346.6067900000","77594652.7110000000","0.500","0.500"
"43","42","3.5345791648","10849700.6303000000","495528771.2810000000","0.490","0.510"
"44","43","3.5306460594","10129425.4941000000","457849351.0170000000","0.480","0.520"
"45","44","3.5354331688","15178195.1468000000","1196834430.2500000000","0.470","0.530"
"46","45","3.5349151023","8488317.2736100000","732264929.6700000000","0.480","0.520"
"47","46","3.5353301414","3711273.9963500000","126539059.0850000000","0.470","0.530"
"48","47","3.5348652977","22930226.3723000000","1227164635.3900000000","0.460","0.540"
"49","48","3.5353882469","2466930.7601800000","101873832.1010000000","0.450","0.550"
