"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","20.8670811659","10934.6822181000","108958.4350720000","0.800","0.200"
"2","1","20.8678467909","61.5128595125","348.1291950950","0.800","0.200"
"3","2","20.5052212876","4808139.1467700000","48080970.9874000000","0.790","0.210"
"4","3","20.5022498520","286148.1941860000","2861254.1239000000","0.780","0.220"
"5","4","20.3217518109","23.9366457994","27.4610931775","0.770","0.230"
"6","5","20.3216067914","122619.8065950000","1225829.3109600000","0.760","0.240"
"7","6","20.3213926801","541060.6424590000","5410364.3199600000","0.750","0.250"
"8","7","20.3204434613","206817.4477650000","2014530.2814700000","0.740","0.260"
"9","8","20.3214588422","25.9281626813","40.4557725667","0.730","0.270"
"10","9","20.3219869183","6593650.8062100000","65856547.4383000000","0.720","0.280"
"11","10","20.3219822797","35414.5647862000","353729.9582090000","0.710","0.290"
"12","11","20.3210762738","152.0041612950","1102.3897034800","0.700","0.300"
"13","12","20.3030720224","1647478.6058200000","16473745.6769000000","0.690","0.310"
"14","13","20.2997202157","11492886.3616000000","53153980.2190000000","0.680","0.320"
"15","14","15.6075419426","9750825.5837800000","47905333.6583000000","0.670","0.330"
"16","15","14.8488800318","2397059.6786900000","21367484.7408000000","0.660","0.340"
"17","16","14.8414122583","4268727.7409600000","42687097.6837000000","0.650","0.350"
"18","17","14.7816193592","1397568.8766900000","13114435.2043000000","0.640","0.360"
"19","18","14.7828373767","454529.8948080000","4312826.6284800000","0.630","0.370"
"20","19","14.7840405017","4352463.4658200000","24137225.4215000000","0.620","0.380"
"21","20","14.7845888416","1900.4099522100","17023.1259551000","0.630","0.370"
"22","21","14.6397121699","1375192.6043000000","13751671.9750000000","0.620","0.380"
"23","22","14.6408950312","3056907.3989600000","25114437.9760000000","0.610","0.390"
"24","23","14.6399209101","36442.0804544000","324634.6714870000","0.600","0.400"
"25","24","14.6403576777","4546088.2059700000","45339379.6024000000","0.610","0.390"
"26","25","14.6400642207","1290704.1688300000","12906619.5818000000","0.600","0.400"
"27","26","14.6370698359","974578.6365690000","7670193.6064200000","0.590","0.410"
"28","27","14.6409255488","796411.5099780000","7948405.6746400000","0.580","0.420"
"29","28","14.6378493769","3196524.2683800000","30863232.3017000000","0.570","0.430"
"30","29","14.6375476191","88420170.3767000000","853205833.1990000000","0.560","0.440"
"31","30","14.6380625117","36558595.1313000000","360274539.0840000000","0.550","0.450"
"32","31","14.6381081660","909057.7436470000","7044612.7503900000","0.540","0.460"
"33","32","14.6385747187","136680.3840980000","1366117.1050800000","0.530","0.470"
"34","33","14.6368498652","4902623.5282900000","49026046.4372000000","0.540","0.460"
"35","34","14.6417175410","5096.5365464200","50617.4602425000","0.530","0.470"
"36","35","14.6397009394","103592.5239880000","663744.8277830000","0.520","0.480"
"37","36","14.6400053828","4605.7580074800","44587.1132515000","0.530","0.470"
"38","37","8.0106900331","2071241.9969800000","15357019.0401000000","0.520","0.480"
"39","38","8.0131841737","244008.4389340000","2439844.4749200000","0.510","0.490"
"40","39","8.0134497987","687203.5787140000","6818564.6059800000","0.520","0.480"
"41","40","8.0109534608","9102262.5076700000","91020915.8599000000","0.510","0.490"
"42","41","8.0112669374","1450924.3971400000","6073042.9231700000","0.500","0.500"
"43","42","8.0099275819","228564.1038120000","2255791.3667100000","0.510","0.490"
"44","43","8.0114993593","4031424.7306100000","40296330.9687000000","0.520","0.480"
"45","44","8.0104773866","49.9005125770","207.4056675270","0.510","0.490"
"46","45","8.0114624940","9078947.0518300000","90328881.8406000000","0.520","0.480"
"47","46","8.0114305116","4810413.5514200000","29630988.1811000000","0.510","0.490"
"48","47","8.0105772401","33122574.6405000000","326258475.4680000000","0.500","0.500"
"49","48","8.0115110780","118207.6491760000","1181081.1753500000","0.490","0.510"
"50","49","8.0113665468","5216437.8238000000","43703119.7399000000","0.480","0.520"
"51","50","8.0080728456","4322703.2349600000","42732301.1704000000","0.470","0.530"
"52","51","8.0130135194","6492989.1415900000","62326074.8981000000","0.460","0.540"
"53","52","8.0125967714","181034.3870820000","1700559.9164600000","0.450","0.550"
"54","53","4.1492336775","513303650.3510000000","5133036271.5900000000","0.460","0.540"
"55","54","4.1467405134","1039886.9750300000","10266450.0150000000","0.450","0.550"
"56","55","4.1458652693","8255466.4302300000","70910569.3994000000","0.440","0.560"
"57","56","4.1468887068","27271426.1826000000","209950666.2010000000","0.430","0.570"
"58","57","4.1462202498","1400484.7954100000","14003892.2615000000","0.420","0.580"
"59","58","4.1497754255","180955.0161270000","1656506.6496400000","0.430","0.570"
"60","59","4.1495051619","43751.3527749000","437135.2248640000","0.420","0.580"
"61","60","4.1478430525","3244683.9348400000","32445152.4407000000","0.410","0.590"
"62","61","4.1458513533","93338796.4303000000","933387184.2300000000","0.400","0.600"
"63","62","4.1447910506","7142341.1056100000","71419749.7032000000","0.390","0.610"
"64","63","4.1477351424","263.6697155630","2118.2888029800","0.380","0.620"
"65","64","4.1485403181","8654.5143265600","85727.3362180000","0.370","0.630"
"66","65","4.1454287459","4200086.0657700000","41987199.6443000000","0.360","0.640"
"67","66","4.1441843611","4788567.1958000000","47884861.0928000000","0.350","0.650"
"68","67","4.1490671736","16780840.8908000000","84713815.2617000000","0.340","0.660"
"69","68","4.1448452498","10175912.0500000000","86643026.0558000000","0.330","0.670"
"70","69","4.1462793318","38.3625140605","110.1669278010","0.320","0.680"
"71","70","4.1430132185","12767.9152788000","103453.7633840000","0.310","0.690"
"72","71","4.1452473494","2242502.4295100000","11402036.6330000000","0.300","0.700"
"73","72","4.1464883162","6308.0402091700","62118.9311992000","0.290","0.710"
"74","73","4.1467683455","1018839.6084300000","10032645.7901000000","0.300","0.700"
"75","74","4.1491587263","9738351.2731400000","97374787.7779000000","0.290","0.710"
"76","75","4.1461274763","135.6205039210","627.1242001520","0.280","0.720"
"77","76","4.1480493513","5532758.1016300000","55327330.0830000000","0.270","0.730"
"78","77","4.1445994002","21089680.2307000000","98760515.3958000000","0.260","0.740"
"79","78","4.1499707381","9556093.9579100000","95559355.6919000000","0.250","0.750"
"80","79","4.1484963728","92.5082091262","376.5449277350","0.240","0.760"
"81","80","4.1466626326","64621.5771204000","643264.1134030000","0.250","0.750"
"82","81","4.1477746931","47.1502742453","161.3074050230","0.260","0.740"
"83","82","4.1495032087","1056381.3439400000","10489515.8448000000","0.250","0.750"
"84","83","4.1498286482","911389.8382110000","8983744.4829600000","0.240","0.760"
"85","84","4.1469873396","33982107.4187000000","335885380.3350000000","0.230","0.770"
"86","85","4.1433843123","470520.7628870000","4248973.7474800000","0.220","0.780"
"87","86","4.1472053572","1025.0973318700","8274.5614807500","0.210","0.790"
"88","87","4.1484040877","8110866.8011700000","81108283.2627000000","0.200","0.800"
