"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","21.0744361997","41.7576025487","82.0794062543","0.500","0.500"
"2","1","17.7264537064","31.1040824185","38.6970792224","0.500","0.500"
"3","2","17.7252334915","31.0978044164","64.8084778287","0.503","0.497"
"4","3","17.7226092239","34.8168711570","86.5926198206","0.509","0.491"
"5","4","4.4620849450","20.1421830901","28.9630308341","0.503","0.497"
"6","5","4.4603127282","53.6370309194","345.9939455320","0.506","0.494"
"7","6","4.4630600426","22.4889848606","46.9465405499","0.498","0.502"
"8","7","4.2967793514","16.6732169870","34.9648354130","0.503","0.497"
"9","8","2.7128388949","37.7876965216","203.3527662720","0.508","0.492"
"10","9","2.7128479281","16.7815008863","35.6184752155","0.501","0.499"
"11","10","2.7128332797","75.8157856517","317.6810218460","0.506","0.494"
"12","11","2.7127956820","574.8332863260","3243.8017378100","0.499","0.501"
"13","12","2.7129216586","89.3511592569","687.0811274000","0.492","0.508"
"14","13","2.7128523226","15.9104917447","20.4950623441","0.500","0.500"
"15","14","2.7128886996","175.7011601250","877.3532414770","0.498","0.502"
"16","15","2.7129699984","34.4864767525","93.4823564944","0.491","0.509"
"17","16","2.7128972445","381.3678762120","3243.8017531900","0.497","0.503"
"18","17","2.7129092074","87.8895494453","509.3227144430","0.489","0.511"
"19","18","2.7128440219","35.7681467232","103.7639690500","0.496","0.504"
"20","19","2.7128498812","20.7204406007","34.9643522451","0.490","0.510"
"21","20","2.4166385102","62.7606892210","429.4587143510","0.487","0.513"
"22","21","2.4166407074","16.2074374052","29.5499366217","0.494","0.506"
"23","22","1.7216444981","173.4293928790","1600.9252595200","0.498","0.502"
"24","23","1.7215627109","20.2793514567","66.0747848970","0.506","0.494"
"25","24","1.7215717442","30.4733128351","160.0327247610","0.500","0.500"
"26","25","1.7215299961","79.1061251589","570.7600184530","0.507","0.493"
"27","26","1.7215800449","19.7115705699","68.2733530286","0.500","0.500"
"28","27","1.7215712559","9.3050047402","35.0522366917","0.493","0.507"
"29","28","1.7216178867","14.6936557767","34.9543994279","0.500","0.500"
"30","29","1.7215649082","43.2036135168","278.5091916000","0.505","0.495"
"31","30","1.7215900547","15.1690332543","35.0142101309","0.513","0.487"
"32","31","1.7215715000","22.7807277572","91.7508445770","0.508","0.492"
"33","32","1.7215873692","16.6774388852","34.7950184172","0.514","0.486"
"34","33","1.7215124180","143.9110074520","1293.1824954400","0.519","0.481"
"35","34","1.7215680820","45.4830040407","264.0070612430","0.527","0.473"
"36","35","1.7215922520","18.2663838508","36.8383398311","0.534","0.466"
"37","36","1.7215097324","25.5644813016","104.8002965870","0.538","0.462"
"38","37","1.7214892246","47.3945424624","331.3490254470","0.545","0.455"
"39","38","1.7214706699","56.6923557953","413.2009607290","0.553","0.447"
"40","39","1.7215705234","28.8268632878","99.3144270774","0.545","0.455"
"41","40","1.7215693027","74.4455522217","594.0465206080","0.551","0.449"
"42","41","1.7215614902","21.4175830805","45.8505113069","0.559","0.441"
"43","42","1.7215141270","97.8873303891","604.9147419350","0.564","0.436"
"44","43","1.7215143711","44.4807306644","226.2617587360","0.571","0.429"
"45","44","1.7215175449","103.8312671260","885.8137344790","0.578","0.422"
"46","45","1.7215671055","23.2617606240","63.3950775276","0.586","0.414"
"47","46","1.5847631056","18.3539118557","34.0058267227","0.591","0.409"
"48","47","1.5847731153","18.4688217291","37.2737980716","0.595","0.405"
"49","48","1.5847701856","17.5752900309","34.9762420022","0.600","0.400"
"50","49","1.5846569044","22.4607921079","78.3371793596","0.604","0.396"
"51","50","1.5846642286","16.7269056808","35.3516957470","0.610","0.390"
"52","51","1.5846988966","14.8589552158","35.1698550585","0.615","0.385"
"53","52","1.5847091505","18.2622112274","30.7633448392","0.620","0.380"
"54","53","1.5847089063","12.5125766392","30.1955571142","0.623","0.377"
"55","54","0.6403542769","14.3950563450","34.9427874839","0.628","0.372"
"56","55","0.6403533004","14.3278593837","34.0442945752","0.633","0.367"
"57","56","0.6403562301","60.0748882042","466.2776177960","0.638","0.362"
"58","57","0.4287832268","151.7768433380","754.5644088650","0.646","0.354"
"59","58","0.4287646722","6.7650864393","20.0628790895","0.653","0.347"
"60","59","0.4287805413","106.6858010300","953.9116711870","0.659","0.341"
"61","60","0.4287768792","20.5893243094","96.6040156134","0.666","0.334"
"62","61","0.4287771233","18.5917929131","69.9927363103","0.673","0.327"
"63","62","0.4287783440","180.8094251090","683.6351913190","0.667","0.333"
"64","63","0.4287773675","60.9406562512","503.5061610670","0.673","0.327"
"65","64","0.4287790764","13.7733573589","25.2238582093","0.665","0.335"
"66","65","0.4287651604","13.7811416048","32.3684698959","0.669","0.331"
"67","66","0.4287780999","50.1953802352","308.2209570530","0.664","0.336"
"68","67","0.4287177972","9.5837671147","24.2119926222","0.672","0.328"
"69","68","0.4042570575","275.3064918600","2594.0222553600","0.677","0.323"
"70","69","0.4042421650","37.0137766053","238.4518034820","0.685","0.315"
"71","70","0.4042743915","10.3231413528","35.7110636711","0.692","0.308"
"72","71","0.4042717060","10.1521872196","34.9461058500","0.686","0.314"
"73","72","0.4043251728","12.3558748727","32.6219634895","0.692","0.308"
"74","73","0.4043198017","40.6164154061","247.1480795600","0.697","0.303"
"75","74","0.2423749584","25.0666120503","120.2764316160","0.705","0.295"
"76","75","0.2424311108","22.5266082507","106.5096419270","0.698","0.302"
"77","76","0.2424142651","14.6490223665","42.0804171499","0.691","0.309"
"78","77","0.2423742260","7.7220877786","23.4899188822","0.697","0.303"
"79","78","0.2091037182","4.5772886367","20.0038629619","0.702","0.298"
"80","79","0.2423627514","17.2917186553","97.5780973762","0.709","0.291"
"81","80","0.2423561596","18.9517544371","137.3318320570","0.716","0.284"
"82","81","0.2423654370","11.1358404298","29.5910763466","0.724","0.276"
"83","82","0.2423561596","5.2229166266","21.5041843689","0.729","0.271"
"84","83","0.2423786206","180.1985152410","944.3821523690","0.736","0.264"
"85","84","0.2423559155","16.3337930641","79.9771808760","0.743","0.257"
"86","85","0.2423759350","28.1050323328","176.8222652200","0.750","0.250"
"87","86","0.2423732495","11.4561664393","34.9631681330","0.757","0.243"
"88","87","0.2423478588","11.1329005706","25.5049468680","0.763","0.237"
"89","88","0.2423800854","12.5697101726","30.1518154632","0.768","0.232"
"90","89","0.2423036694","52.4739716972","268.0767501930","0.773","0.227"
"91","90","0.2423095288","44.9237006528","304.3613222390","0.780","0.220"
"92","91","0.2423073315","35.3286058779","94.8166964087","0.787","0.213"
"93","92","0.2423056225","12.6246258833","21.4903011657","0.782","0.218"
"94","93","0.2423080639","94.3318690312","857.0806921740","0.785","0.215"
"95","94","0.2423036694","6.8425527264","20.5049064637","0.793","0.207"
"96","95","0.2422963452","7.1739876671","23.3532622220","0.799","0.201"
"97","96","0.2422953686","129.8643359550","1229.7986059000","0.805","0.195"
"98","97","0.2423090405","5.5943985658","24.1377517187","0.813","0.187"
"99","98","0.2422902416","6.6927687037","22.2595160838","0.820","0.180"
"100","99","0.2422714428","5.8745882486","21.0030952207","0.826","0.174"
"101","100","0.2423080639","10.5764345638","21.4856259874","0.832","0.168"
"102","101","0.2423041577","36.0811492186","287.5851117820","0.836","0.164"
"103","102","0.2422924389","38.7916862889","292.9355030260","0.844","0.156"
"104","103","0.2423061108","29.8785316822","163.4601334430","0.852","0.148"
"105","104","0.2422794995","5.0399763900","27.9620117247","0.859","0.141"
"106","105","0.2423080639","7.1167285542","28.7447866751","0.851","0.149"
"107","106","0.2423070874","4.6365958166","20.0643625246","0.858","0.142"
"108","107","0.2275596577","28.0585678853","206.5433556880","0.865","0.135"
"109","108","0.2275760152","5.9194423356","20.0468713357","0.873","0.127"
"110","109","0.2275552632","7.0883227094","22.9834939776","0.879","0.121"
"111","110","0.2275655171","3.9769535292","19.6255793861","0.885","0.115"
"112","111","0.2275147359","0.8006285010","5.7155642937","0.892","0.108"
"113","112","0.1944717671","3.5718253368","19.9863509044","0.900","0.100"
"114","113","0.2275611226","9.0615617497","22.9688079667","0.907","0.093"
"115","114","0.2275594136","5.3383232013","19.9750522844","0.912","0.088"
"116","115","0.2275642964","60.2809539892","322.9091932160","0.918","0.082"
"117","116","0.2275633199","2.9467307686","19.9958714685","0.926","0.074"
"118","117","0.2275249898","0.3594748917","1.3191518517","0.933","0.067"
"119","118","0.2275667378","2.2272093751","19.9963138235","0.941","0.059"
"120","119","0.2275603902","0.9072584296","6.7967482164","0.949","0.051"
"121","120","0.2275652730","32.8747344052","275.4992937590","0.957","0.043"
"122","121","0.1876909891","35.5828355408","179.6796650170","0.965","0.035"
"123","122","0.1876677958","25.5000473680","213.4790549320","0.972","0.028"
"124","123","0.1876892802","4.1703681462","19.6298682489","0.964","0.036"
"125","124","0.1545633036","0.2078299399","0.2275960347","0.957","0.043"
"126","125","0.1876714579","0.8550093925","6.6731923346","0.959","0.041"
"127","126","0.1876594950","28.7071873310","285.1949993070","0.967","0.033"
"128","127","0.1876707255","0.2064706349","0.1877849833","0.975","0.025"
"129","128","0.1876714579","0.2064620656","0.1877053934","0.999","0.001"
"130","129","0.1876511942","0.2064813283","0.1878311259","0.999","0.001"
"131","130","0.1876746317","0.2064594533","0.1877022196","0.999","0.001"
"132","131","0.1545510966","0.2031459035","0.1876970927","0.999","0.001"
"133","132","0.1545252177","0.2031635060","0.1878111063","0.994","0.006"
"134","133","0.1876624247","0.2679589167","0.8026795199","0.990","0.010"
"135","134","0.1875432841","0.2165024226","0.2880283972","0.997","0.003"
"136","135","0.1874480692","0.2064401174","0.1877105204","0.999","0.001"
"137","136","0.1876721903","0.2064558156","0.1876936747","0.999","0.001"
"138","137","0.1876883036","0.2064764211","0.1878377177","0.999","0.001"
"139","138","0.1876594950","0.2065157033","0.1878421122","0.999","0.001"
"140","139","0.1876863505","0.2064723683","0.1878252665","0.999","0.001"
"141","140","0.1876812235","0.2064745412","0.1878262431","0.999","0.001"
"142","141","0.1876499735","0.2064552297","0.1876919657","0.999","0.001"
"143","142","0.1876895243","1386.6745623300","8265.7290649100","0.001","0.999"
"144","143","0.1876914774","22.4961744713","53.8975523518","0.008","0.992"
"145","144","0.1876890360","27.1518568880","57.9291086874","0.013","0.987"
"146","145","0.1876663309","433.6215361380","4092.9802580400","0.017","0.983"
"147","146","0.1876770731","72.7133384015","427.4590999950","0.025","0.975"
"148","147","0.1876743876","1292.0244578000","12703.2130932000","0.033","0.967"
"149","148","0.1876848856","17.9554758602","34.9164095217","0.041","0.959"
