"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1151","0","7.3177650212","37.7097052620","60.9386317776","0.000","1.000"
"1152","1","17.5956881721","39.0204376543","130.8842252600","0.000","1.000"
"1153","2","10.6001643869","42.3391765144","135.4857652520","0.000","1.000"
"1154","3","14.5573358449","30.6264556398","45.9921859515","0.000","1.000"
"1155","4","18.7843742948","32.9751320681","47.6625485284","0.000","1.000"
"1156","5","17.9612397633","36.4832684286","140.7333856390","0.000","1.000"
"1157","6","19.9694134780","56.3953340428","253.4041487220","0.000","1.000"
"1158","7","19.9026725691","33.8751271014","57.0284144555","0.000","1.000"
"1159","8","19.9696156042","57.6746248465","302.9517697600","0.000","1.000"
"1160","9","19.4954297342","69.4050960645","455.9951059030","0.000","1.000"
"1161","10","19.9654234172","47.4627022336","134.2893580790","0.000","1.000"
"1162","11","20.4871864413","52.5704683877","213.9609239960","0.000","1.000"
"1163","12","19.8433416929","38.2475640787","103.8670864990","0.000","1.000"
"1164","13","19.9837818318","33.4862879621","36.1477422871","0.000","1.000"
"1165","14","19.9664282812","35.1718363682","67.3688522694","0.000","1.000"
"1166","15","19.9844296907","58.7437913525","288.3043197590","0.000","1.000"
"1167","16","19.9820771648","43.6146491533","137.7616744820","0.000","1.000"
"1168","17","19.9687196236","198.8653992170","1637.9196686100","0.000","1.000"
"1169","18","13.5324729257","38.5602449326","146.1977347060","0.000","1.000"
"1170","19","18.2011432340","28.8241209125","35.3389856922","0.000","1.000"
"1171","20","14.2867156788","33.3959990033","79.5434883131","0.000","1.000"
"1172","21","19.9797310930","29.4749470019","34.9933043977","0.000","1.000"
"1173","22","19.9822993993","104.4440910770","426.7437158880","0.000","1.000"
"1174","23","19.9914155358","33.0000858473","35.1942197616","0.000","1.000"
"1175","24","14.4710806458","26.5005311775","35.9325852514","0.000","1.000"
"1176","25","20.0004432199","39.6156783992","66.1048295949","0.000","1.000"
"1177","26","19.9695574321","51.2532134116","133.5747044610","0.000","1.000"
"1178","27","19.9787467569","47.0282789353","143.7212770650","0.000","1.000"
"1179","28","19.9583813096","29.5021657758","43.9350745128","0.000","1.000"
"1180","29","19.9690682282","29.0897325149","49.1611602963","0.000","1.000"
"1181","30","10.9923112009","44.3614684459","84.2383185918","0.000","1.000"
"1182","31","23.8904293577","55.3101637608","247.0998220070","0.000","1.000"
"1183","32","19.1157485751","111.3756227470","317.4128554250","0.000","1.000"
"1184","33","16.1815524507","41.6370500965","76.8749174889","0.000","1.000"
"1185","34","19.9654195177","30.8185176077","34.9636580349","0.000","1.000"
"1186","35","12.7853955636","35.4768781911","81.8193236934","0.000","1.000"
"1187","36","19.9838347050","169.9302971520","1288.0537504700","0.000","1.000"
"1188","37","10.1847276362","29.6095556568","35.3141767473","0.000","1.000"
"1189","38","19.4348059244","59.9485247811","128.2995107860","0.000","1.000"
"1190","39","19.9654064919","36.4730126283","91.2996558847","0.000","1.000"
"1191","40","19.9715170563","108.0332973940","560.8126802960","0.000","1.000"
"1192","41","16.2084626184","54.2939313885","146.3927316130","0.000","1.000"
"1193","42","19.9513205421","46.4615381306","156.3809647260","0.000","1.000"
"1194","43","19.9653943690","49.4136627165","206.1140985550","0.000","1.000"
"1195","44","19.6716431229","43.1826710516","97.4357762914","0.000","1.000"
"1196","45","19.5958042098","41.1537158235","156.7157507710","0.000","1.000"
"1197","46","2.7032817967","33.0477927910","60.7331393257","0.000","1.000"
"1198","47","19.9686092433","3205.3901091400","31430.0415424000","0.000","1.000"
"1199","48","19.9654143738","106.7975193460","801.5724698480","0.000","1.000"
"1200","49","19.9674032999","30.4157119032","34.9994835820","0.000","1.000"
"1201","50","19.9939269135","10997.9510362000","54395.3269937000","0.000","1.000"
"1202","51","19.9659801508","300.1015620050","2686.4957541100","0.000","1.000"
"1203","52","20.0244517121","82.3492453101","261.7616853780","0.000","1.000"
"1204","53","19.9654275552","32.0353198866","50.8338559599","0.000","1.000"
"1205","54","19.9697845225","36.8895811603","77.5212465762","0.000","1.000"
"1206","55","19.9934607861","35.7042932950","40.4818805855","0.000","1.000"
"1207","56","19.9310031045","33.1799221264","35.2456909093","0.000","1.000"
"1208","57","18.0752503877","32.4260341861","59.3859354306","0.000","1.000"
"1209","58","9.4695294171","43.7542221165","106.2643251260","0.000","1.000"
"1210","59","11.8141677460","42.8173124538","110.5335834660","0.000","1.000"
"1211","60","16.6658311051","108.1258569950","687.5069823200","0.000","1.000"
"1212","61","16.5090520430","106.8020892080","787.4586939450","0.000","1.000"
"1213","62","19.2611302932","39.3152886405","134.3437251150","0.000","1.000"
"1214","63","19.9654197499","96.3602071245","395.6878525150","0.000","1.000"
"1215","64","19.7499783030","33.5249224073","36.5761334219","0.000","1.000"
"1216","65","15.4600724660","124.6092580610","823.4324027750","0.000","1.000"
"1217","66","19.9654192736","108.1905384260","616.4663997250","0.000","1.000"
"1218","67","19.8158072198","73.8137208051","391.1573718870","0.000","1.000"
"1219","68","19.9611944015","31.6330048554","35.0199828344","0.000","1.000"
"1220","69","19.5956502960","555.9365715820","5285.3902354100","0.000","1.000"
"1221","70","1.7648207504","47.5653632524","174.7321017940","0.000","1.000"
"1222","71","15.9934234397","57.8930960516","211.3278374540","0.000","1.000"
"1223","72","19.9654219398","40.4867457925","132.4853195610","0.000","1.000"
"1224","73","19.9654285483","54.7146492597","236.4849071520","0.000","1.000"
"1225","74","19.9010122803","93.8685063814","701.9888640270","0.000","1.000"
"1226","75","15.8163878907","42.7133453757","147.3753147920","0.000","1.000"
"1227","76","19.9654579844","31.0836039934","35.0152152880","0.000","1.000"
"1228","77","19.9654546338","89.1130999532","433.8217464640","0.000","1.000"
"1229","78","11.9005019605","36.4618448968","113.1103191590","0.000","1.000"
"1230","79","19.7893138141","34.9393423927","64.7442503563","0.000","1.000"
"1231","80","16.4203753901","3676.2977672500","36510.9429206000","0.000","1.000"
"1232","81","6.3873454643","7899.3574396300","78757.1173727000","0.000","1.000"
"1233","82","14.8404880397","31.7837531525","35.0699941436","0.000","1.000"
"1234","83","19.0797572470","29.6192524692","45.4646644071","0.000","1.000"
"1235","84","19.9984095640","41.6040848193","80.0607193250","0.000","1.000"
"1236","85","19.9734659140","49.5184546920","96.6518314333","0.000","1.000"
"1237","86","19.9685592662","34.2778141072","35.0351111777","0.000","1.000"
"1238","87","19.9696612635","133.7505496210","930.4566535110","0.000","1.000"
"1239","88","19.9654307838","221.2914091730","1781.9374558700","0.000","1.000"
"1240","89","19.9436766402","54.0333077653","254.3179218750","0.000","1.000"
"1241","90","19.9655884261","58.5621658560","176.7520640910","0.000","1.000"
"1242","91","21.7005499909","125.6147579110","907.6005307540","0.000","1.000"
"1243","92","22.1149028231","79.3558546841","234.3313896090","0.000","1.000"
"1244","93","19.9674282952","67.5084367936","152.4623558990","0.000","1.000"
"1245","94","19.9685611736","37.2888927612","41.7487537640","0.000","1.000"
"1246","95","19.9693311251","38.5773615869","91.4394396501","0.000","1.000"
"1247","96","6.1457713658","90.5259101767","526.7600457000","0.000","1.000"
"1248","97","19.0138610500","37.0343384474","82.6652656924","0.000","1.000"
"1249","98","0.2784407415","79.5335293347","517.5001029510","0.000","1.000"
"1250","99","19.9819762108","39.9663447965","69.7691245976","0.000","1.000"
"1251","100","12.1126342714","50.1373704491","109.6691838970","0.000","1.000"
"1252","101","20.0223373833","56.7615923821","172.5505532670","0.000","1.000"
"1253","102","19.9654177327","52.1291770121","201.2343290260","0.000","1.000"
"1254","103","17.7604175996","39.8279737777","100.2680821980","0.000","1.000"
"1255","104","20.0071750496","59.5949283251","165.9152595870","0.000","1.000"
"1256","105","19.9654354106","33.8591152823","36.7583076318","0.000","1.000"
"1257","106","19.9688189766","28.7978281446","35.1630385891","0.000","1.000"
"1258","107","6.4856481066","26.4997282630","58.1274945684","0.000","1.000"
"1259","108","19.2683775115","36.4912404295","43.8481823708","0.000","1.000"
"1260","109","19.9692837686","188.5022166330","896.4062045650","0.000","1.000"
"1261","110","19.9178256725","30.5098122254","35.5032763552","0.000","1.000"
"1262","111","5.8218907096","77.3872325155","302.6481517480","0.000","1.000"
"1263","112","10.1245570347","29.6209443205","66.0870444981","0.000","1.000"
"1264","113","19.9654214298","30.9930942487","37.7386222062","0.000","1.000"
"1265","114","19.9591735073","177.8494078200","748.7657249660","0.000","1.000"
"1266","115","17.0595619281","57.6935362202","268.9633843810","0.000","1.000"
"1267","116","19.9853211621","3375.2024708100","33436.2761016000","0.000","1.000"
"1268","117","12.7239125680","79.4119694598","212.2300799630","0.000","1.000"
"1269","118","19.9819117145","148.5509586900","771.4625781240","0.000","1.000"
"1270","119","18.9545445911","58.0169411546","102.7858890390","0.000","1.000"
"1271","120","5.9953989092","39.1040488283","71.9558324845","0.000","1.000"
"1272","121","18.8496305833","58.2791597263","313.0925406010","0.000","1.000"
"1273","122","20.0197435297","34.8071269534","42.1654954073","0.000","1.000"
"1274","123","19.9783209610","31.2710628959","34.9756113510","0.000","1.000"
"1275","124","19.9862274297","31.5248018773","41.3786798219","0.000","1.000"
"1276","125","19.9690548398","85.9866321143","567.3853922960","0.000","1.000"
"1277","126","3.3680523645","37.6728658051","64.0625973524","0.000","1.000"
"1278","127","19.9681812227","33.4653757824","48.6669549637","0.000","1.000"
"1279","128","19.9659621175","1457.4652117200","14279.3904043000","0.000","1.000"
"1280","129","20.0000913816","69.6318452551","379.3266432670","0.000","1.000"
"1281","130","19.9896277747","36.3095672540","43.0443873600","0.000","1.000"
"1282","131","19.9904197444","35.5993801977","51.3898447742","0.000","1.000"
"1283","132","19.9697408086","34.8197890362","70.1604240864","0.000","1.000"
"1284","133","19.9683950941","56.5216810348","174.8619751450","0.000","1.000"
"1285","134","16.3832599862","28.4806104879","51.7395043680","0.000","1.000"
"1286","135","16.8933226235","182.5998017100","1575.2889861900","0.000","1.000"
"1287","136","19.9710691699","46.5565984899","108.4446589500","0.000","1.000"
"1288","137","6.6253765134","44.6902818071","213.8132882790","0.000","1.000"
"1289","138","19.7784646174","49.7822253218","202.3478341880","0.000","1.000"
"1290","139","20.9350271620","45.3885604408","91.3824100492","0.000","1.000"
"1291","140","19.6553668273","34.5814638808","46.6378725516","0.000","1.000"
"1292","141","19.9654248923","39.1876428219","109.8032536180","0.000","1.000"
"1293","142","18.9186011793","79.0517407858","292.3728881340","0.000","1.000"
"1294","143","19.9692993362","1970.8131716400","18617.7251020000","0.000","1.000"
"1295","144","19.9937744735","41.2692478060","75.3048618836","0.000","1.000"
"1296","145","19.9819848648","36.5875205235","58.6607371950","0.000","1.000"
"1297","146","19.9779633492","70.7456888714","188.0247068300","0.000","1.000"
"1298","147","19.9654377927","103.4242412950","496.6666124040","0.000","1.000"
"1299","148","19.9650291252","52.9365191204","105.6352404770","0.000","1.000"
"1300","149","19.9695512200","342.6837329200","1567.6518817900","0.000","1.000"
"1301","150","19.9687629582","34.5781687711","36.0295708509","0.000","1.000"
"1302","151","19.9678153712","34.7143585696","51.8867688909","0.000","1.000"
"1303","152","19.9353311001","43.9934150922","148.0697516750","0.000","1.000"
"1304","153","19.9683170670","53.4967625972","144.7319576460","0.000","1.000"
"1305","154","19.9404320761","111.8061429370","627.0885009160","0.000","1.000"
"1306","155","19.9685893527","50.8919941015","206.5203863290","0.000","1.000"
"1307","156","19.9692717601","29.5089484324","35.3834289076","0.000","1.000"
"1308","157","19.1199679816","42.7107894398","190.4800442410","0.000","1.000"
"1309","158","12.7012948847","237.0386849320","2127.9222361400","0.000","1.000"
"1310","159","19.9942102171","36.7577011974","73.1284666346","0.000","1.000"
"1311","160","19.9676236730","30.6855548944","34.9664593651","0.000","1.000"
"1312","161","20.0209235773","75.6605755638","439.1436354950","0.000","1.000"
"1313","162","19.9645680082","37.5051582629","77.0440630348","0.000","1.000"
"1314","163","19.9563888033","58.1442103165","229.9260903010","0.000","1.000"
"1315","164","10.2324203450","38.6413817988","84.6934437711","0.000","1.000"
"1316","165","19.9895240968","49.9802420073","198.4256593990","0.000","1.000"
"1317","166","19.9898760464","57.9994148717","271.0497862330","0.000","1.000"
"1318","167","19.9654700245","143.4042171340","510.8096318270","0.000","1.000"
"1319","168","19.9792414134","1491.7388765100","14654.9669918000","0.000","1.000"
"1320","169","19.1572407781","30.6358719322","59.0269215647","0.000","1.000"
"1321","170","19.5548968461","31.4046606838","35.1068138109","0.000","1.000"
"1322","171","17.8938891077","6965.5377779100","68969.9483560000","0.000","1.000"
"1323","172","12.9229159673","29.1434748981","37.0140736650","0.000","1.000"
"1324","173","19.5788169841","47.9190670616","138.9278169550","0.000","1.000"
"1325","174","17.9806128834","36.2359556216","53.3808299353","0.000","1.000"
"1326","175","19.9899857967","34.5930461150","45.3334275613","0.000","1.000"
"1327","176","21.1138528685","125.0863695670","780.8846142700","0.000","1.000"
"1328","177","19.9913061560","121.8245443240","450.2148541250","0.000","1.000"
"1329","178","19.4881259396","51.2437166623","130.1493996210","0.000","1.000"
"1330","179","19.9900873578","293.1772979260","2616.5612702300","0.000","1.000"
"1331","180","8.6287372599","33.1187788460","35.0022352795","0.000","1.000"
"1332","181","11.3710595465","31.0741634829","36.8904913899","0.000","1.000"
"1333","182","19.9799319899","33.8455400692","52.2508889504","0.000","1.000"
"1334","183","19.9654236297","3888.3680252300","38536.5469797000","0.000","1.000"
"1335","184","19.9686537865","47.4402360553","199.3931014390","0.000","1.000"
"1336","185","27.1392525969","3067.9825489800","15961.2514396000","0.000","1.000"
"1337","186","30.7386494924","79.5188338044","444.1012559650","0.000","1.000"
"1338","187","19.0962531224","387.4915221160","3353.9307139500","0.000","1.000"
"1339","188","19.9214322310","33.3337656003","56.5982592778","0.000","1.000"
